GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
unit-testing-java,pl.dudzin.testing.order,OrderStatus,33,0,0,0,2,0,1,0,1,0
unit-testing-java,pl.dudzin.testing.order,Order,0,52,0,2,0,15,0,9,0,8
unit-testing-java,pl.dudzin.testing.order,OrderBackup,0,47,0,2,0,13,0,6,0,5
unit-testing-java,pl.dudzin.testing.meal,Meal,21,82,4,8,2,22,6,10,2,8
unit-testing-java,pl.dudzin.testing.cart,Cart,0,56,0,2,0,15,0,6,0,5
unit-testing-java,pl.dudzin.testing.account,AccountService,0,16,0,0,0,7,0,2,0,2
unit-testing-java,pl.dudzin.testing.account,Address,0,9,0,0,0,4,0,1,0,1
unit-testing-java,pl.dudzin.testing.account,Account,3,48,1,3,1,19,1,9,0,8
unit-testing-java,pl.dudzin.testing.extensions,BeforeAfterExtension,0,11,0,0,0,5,0,3,0,3
unit-testing-java,pl.dudzin.testing.extensions,IAExceptionIgnoreExtension,2,16,1,1,1,5,1,3,0,3
